Set_Number	Site	Hooks	Set	Day	Month	Year	Soak_Time	Latitude	Longitude	Surface_Temp	Surface_Salinity	Surface_DO	Bottom_Temp	Bottom_Salinity	Bottom_DO	Depth
171	Redfish_Bay	50	3	23	8	2018	1.6	27.78246	-97.14973	30.9	39.3	4.9	30.4	39.2	4.8	3.7127
87	Aransas_Bay	50	2	22	9	2016	2	27.97496	-97.02675	30.3	22.2	5.35	30.7	26.9	4.68	3.716675
116	Redfish_Bay	50	3	8	6	2017	2.45	27.78776	-97.1439	30.5	31.2	5.95	29.5	32.4	4.46	3.7192
36	Aransas_Bay	40	4	25	5	2016	1.65	27.98669	-97.01949							3.719202
74	Aransas_Bay	50	2	10	8	2016	2	27.97649	-97.02187	31.2	34.7	5.2	31.1	34.8	5.07	3.720459
67	Aransas_Bay	50	4	28	7	2016	1.5	27.98272	-97.02885	30.6	29	6.39	30.5	29.2	6.06	3.730469
121	Aransas_Bay	50	4	11	7	2017	1.9	27.98014	-97.03916	30.7	27.2	6.24	30.6	27.4	6.12	3.739136
17	Aransas_Bay	50	2	25	8	2015	2.15	27.98761	-97.02189	31.5	30.95	6.29	30.5	33.89	5.99	3.745605
137	Redfish_Bay	50	3	13	9	2017	1.88333	27.7827	-97.1501	26.7	28.4	6.64	26.7	28.4	6.64	3.755737
3	Aransas_Bay	46	3	28	7	2015	1.68333	27.98037	-97.03275	32.4	29.47	6.1	32.2	29.25	5.9	3.772339
4	Aransas_Bay	50	4	28	7	2015	1.96667	27.98037	-97.03275	32.4	29.37	5.96	32	29.24	4.93	3.772339
5	Redfish_Bay	50	1	29	7	2015	2.41667	27.79033	-97.15462	31.6	28.37	5.73	30.1	30.3	4.96	3.772461
45	Aransas_Bay	50	3	13	6	2016	2.01667	27.98615	-97.01861	29.19	10					3.785898
97	Redfish_Bay	50	4	29	9	2016	2.83333	27.78143	-97.15459	28.1	30.6	6.63	27.6	31	6.72	3.79
148	Redfish_Bay	50	4	20	10	2017	1.73333	27.79226	-97.1525	25	25.9	6.66	24.8	27.6	5.15	3.790015
152	Corpus_Christi_Bay	50	4	25	10	2017	1.86667	27.8566	-97.3294	23.4	27.3	6.5	23.4	27.4	6.19	3.828613
81	Redfish_Bay	50	4	23	8	2016	2.08333	27.78176	-97.15207	30.3	36.2	5.49	30.2	36.3	5.6	3.829102
