sample filter reads k_reads
S68_R1.fastq.gz merged 450 0.45
S68_R1.fastq.gz rm_chimera 450 0.45
S69_R1.fastq.gz reads.in 1000 1
S69_R1.fastq.gz trimmed 372 0.372
S69_R1.fastq.gz denoisedF 305 0.305
S69_R1.fastq.gz denoisedR 310 0.31
S69_R1.fastq.gz merged 279 0.279
S69_R1.fastq.gz rm_chimera 279 0.279
S7_R1.fastq.gz reads.in 1000 1
S7_R1.fastq.gz trimmed 520 0.52
S7_R1.fastq.gz denoisedF 482 0.482
S7_R1.fastq.gz denoisedR 487 0.487
S7_R1.fastq.gz merged 451 0.451
S7_R1.fastq.gz rm_chimera 451 0.451
S72_R1.fastq.gz reads.in 1000 1
S72_R1.fastq.gz trimmed 558 0.558
S72_R1.fastq.gz denoisedF 503 0.503
S72_R1.fastq.gz denoisedR 513 0.513
S72_R1.fastq.gz merged 486 0.486
S72_R1.fastq.gz rm_chimera 486 0.486
S73_R1.fastq.gz reads.in 1000 1
S73_R1.fastq.gz trimmed 581 0.581
S73_R1.fastq.gz denoisedF 519 0.519
S73_R1.fastq.gz denoisedR 524 0.524
S73_R1.fastq.gz merged 491 0.491
S73_R1.fastq.gz rm_chimera 491 0.491
S74_R1.fastq.gz reads.in 1000 1
S74_R1.fastq.gz trimmed 431 0.431
S74_R1.fastq.gz denoisedF 314 0.314
S74_R1.fastq.gz denoisedR 320 0.32
S74_R1.fastq.gz merged 189 0.189
S74_R1.fastq.gz rm_chimera 189 0.189
S75_R1.fastq.gz reads.in 1000 1
S75_R1.fastq.gz trimmed 356 0.356
S75_R1.fastq.gz denoisedF 324 0.324
S75_R1.fastq.gz denoisedR 309 0.309
S75_R1.fastq.gz merged 304 0.304
S75_R1.fastq.gz rm_chimera 304 0.304
S76_R1.fastq.gz reads.in 1000 1
S76_R1.fastq.gz trimmed 403 0.403
S76_R1.fastq.gz denoisedF 345 0.345
S76_R1.fastq.gz denoisedR 337 0.337
S76_R1.fastq.gz merged 314 0.314
S76_R1.fastq.gz rm_chimera 314 0.314
S77_R1.fastq.gz reads.in 1000 1
S77_R1.fastq.gz trimmed 385 0.385
S77_R1.fastq.gz denoisedF 323 0.323
S77_R1.fastq.gz denoisedR 315 0.315
S77_R1.fastq.gz merged 270 0.27
S77_R1.fastq.gz rm_chimera 270 0.27
S78_R1.fastq.gz reads.in 1000 1
S78_R1.fastq.gz trimmed 400 0.4
S78_R1.fastq.gz denoisedF 317 0.317
S78_R1.fastq.gz denoisedR 332 0.332
S78_R1.fastq.gz merged 254 0.254
S78_R1.fastq.gz rm_chimera 254 0.254
S79_R1.fastq.gz reads.in 1000 1
S79_R1.fastq.gz trimmed 560 0.56
S79_R1.fastq.gz denoisedF 471 0.471
S79_R1.fastq.gz denoisedR 444 0.444
S79_R1.fastq.gz merged 394 0.394
S79_R1.fastq.gz rm_chimera 394 0.394
S8_R1.fastq.gz reads.in 1000 1
S8_R1.fastq.gz trimmed 423 0.423
S8_R1.fastq.gz denoisedF 419 0.419
S8_R1.fastq.gz denoisedR 419 0.419
S8_R1.fastq.gz merged 396 0.396
S8_R1.fastq.gz rm_chimera 396 0.396
S80_R1.fastq.gz reads.in 1000 1
S80_R1.fastq.gz trimmed 457 0.457
S80_R1.fastq.gz denoisedF 347 0.347
S80_R1.fastq.gz denoisedR 353 0.353
S80_R1.fastq.gz merged 307 0.307
S80_R1.fastq.gz rm_chimera 307 0.307
S81_R1.fastq.gz reads.in 1000 1
S81_R1.fastq.gz trimmed 592 0.592
S81_R1.fastq.gz denoisedF 554 0.554
S81_R1.fastq.gz denoisedR 537 0.537
S81_R1.fastq.gz merged 527 0.527
S81_R1.fastq.gz rm_chimera 527 0.527
S9_R1.fastq.gz reads.in 1000 1
S9_R1.fastq.gz trimmed 492 0.492
S9_R1.fastq.gz denoisedF 424 0.424
S9_R1.fastq.gz denoisedR 441 0.441
S9_R1.fastq.gz merged 393 0.393
S9_R1.fastq.gz rm_chimera 393 0.393
